"type"|"right"|"occurrenceID_GBIF"|"rightsHolder"|"modified"|"institutionCode"|"collectionCode"|"catalogNumber"|"recordNumber"|"recordedBy"|"eventDate"|"year"|"month"|"day"|"occurrenceRemarks"|"fieldNotes"|"country"|"stateProvince"|"municipality"|"locality"|"minimumElevationInMeters"|"maximumElevationInMeters"|"verbatimLatitude"|"verbatimLongitude"|"decimalLatitude"|"decimalLongitude"|"identifiedBy"|"dateIdentified"|"identificationRemarks"|"identificationQualifier"|"typeStatus"|"scientifname"|"family"|"genus"|"specificEpithet"|"infraspecificEpithet"|"taxonRank"|"scientificNameAuthorship"|"Clado"|"fieldnumber"|"kingdom"|"phylum"|"otherCatalogNumbers"
"Collection"|"Creative Commons"|"urn:catalog:RB:1551459"|"RB"|"2024-09-16"|"RB"|"RB"|"RB01551459"|"5723"|"H. Medeiros"|"2024-5-1"|"2024"|"5"|"1"|"Árvore 11,2 m, estéril. Placa 208."|""|"Brasil"|"Bahia"|"Prado"|"Programa de Monitoramento da Biodiversidade. Trilha do Quexada. Estação Amostral 01. Unidade Amostral 01. PA ""Sul""."|"87"|""|""|""|"-17.1233334"|"-39.3319445"|"A. Stadnik"|"11/9/2024"|""|""|""|"Myrcia raminfinita L.Marinho & E.Lucas"|"MYRTACEAE"|"Myrcia"|"raminfinita"|""|"specie"|"L.Marinho & E.Lucas"|"Angiospermas"|""|"Plantae"|""|"RB 869601"
"Collection"|"Creative Commons"|"urn:catalog:RB:1551719"|"RB"|"2024-07-16"|"RB"|"RB"|"RB01551719"|"9051"|"P. Labiak"|"2024-4-29"|"2024"|"4"|"29"|"Hemiepífita às margens de riacho."|""|"Brasil"|"Bahia"|"Prado"|"Trilha da Juerana."|"90"|""|""|""|"-17.1338889"|"-39.3325000"|"P. Labiak"|"4/2024"|""|""|""|"Cyclodium meniscioides (Willd.) C.Presl"|"DRYOPTERIDACEAE"|"Cyclodium"|"meniscioides"|""|"specie"|"(Willd.) C.Presl"|"Samambaias e Licófitas"|""|"Plantae"|""|"RB 869835"
"Collection"|"Creative Commons"|"urn:catalog:RB:1551764"|"RB"|"2024-09-16"|"RB"|"RB"|"RB01551764"|"9096"|"P. Labiak"|"2024-5-4"|"2024"|"5"|"4"|"Arbusto 3 m. Flores brancas."|""|"Brasil"|"Bahia"|"Prado"|"Estrada para Aldeia Alegria Nova. Próximo à entrada da Trilha 2 do Programa Monitora."|"70"|""|""|""|"-17.0397222"|"-39.2936111"|"A. Stadnik"|"11/9/2024"|""|""|""|"Eugenia hirta O.Berg"|"MYRTACEAE"|"Eugenia"|"hirta"|""|"specie"|"O.Berg"|"Angiospermas"|""|"Plantae"|""|"RB 869880"
"Collection"|"Creative Commons"|"urn:catalog:RB:1560050"|"RB"|"2024-08-19"|"RB"|"RB"|"RB01560050"|"4256"|"C.N. Fraga"|"2024-5-2"|"2024"|"5"|"2"|"Terrestre, rizomatoza. Folhas verde na face adaxial e acinzentada na face abaxial. Inflorescência com brácteas vermelhas. Flores com sépalas rosa de ápiceroxo, pétalas amarelas de ápice roxo."|""|"Brasil"|"Bahia"|"Prado"|"Estrada para corredeiras."|"50"|""|""|""|"-17.0908333"|"-39.3244445"|""|""|""|""|""|"Billbergia euphemiae É.Morren"|"BROMELIACEAE"|"Billbergia"|"euphemiae"|""|"specie"|"É.Morren"|"Angiospermas"|""|"Plantae"|""|"RB 873019"
"Collection"|"Creative Commons"|"urn:catalog:RB:1504883"|"RB"|"2023-11-16"|"RB"|"RB"|"RB01504883"|"1631"|"E.P. Fernandez"|"2023-8-17"|"2023"|"8"|"17"|"Árvore c/ cerca de 4,0 m, terrícola, semi-heliófila; folhas verdes discolores, face adaxial verde-escura, glabra, face abaxial cinérea; frutos verdes"|""|"Brasil"|"Bahia"|"Prado"|"Base Serra Delta, Trilha do Macaco Prego."|"65"|"82"|""|""|"-17.1411111"|"-39.4136111"|"D. Nunes"|"14/11/2023"|""|""|""|"Miconia hypoleuca (Benth.) Triana"|"MELASTOMATACEAE"|"Miconia"|"hypoleuca"|""|"specie"|"(Benth.) Triana"|"Angiospermas"|""|"Plantae"|""|"RB 857104"
"Collection"|"Creative Commons"|"urn:catalog:RB:843792"|"RB"|"2022-02-07"|"RB"|"RB"|"RB00843792"|"900"|"G.S. Siqueira"|"2013-10-26"|"2013"|"10"|"26"|"Terrestre, porte arbustivo 5m, fruto imaturo verde"|""|"Brasil"|"Bahia"|"Prado"|"Parque Nacional do Descobrimento. Estrada próximo a Torre."|""|""|""|""|"-17.0927777"|"-39.3283334"|"A.M.Marinho"|"24/1/2022"|""|""|""|"Psychotria pedunculosa Rich."|"RUBIACEAE"|"Psychotria"|"pedunculosa"|""|"specie"|"Rich."|"Angiospermas"|""|"Plantae"|""|"RB 595202"
"Collection"|"Creative Commons"|"urn:catalog:RB:748068"|"RB"|"2017-10-14"|"RB"|"RB"|"RB00748068"|"1908"|"F.B. Matos"|"2009-11-3"|"2009"|"11"|"3"|"Liana com gavinhas opostas às folhas. Flores creme com odor agradável"|""|"Brasil"|"Bahia"|"Prado"|"Parque Nacional do Descobrimento. Entrada à esquerda no km 8 da estrada principal que atravessa o Parque."|"70"|""|""|""|"-17.1833333"|"-39.3333333"|""|""|""|""|""|"Cissus"|"VITACEAE"|"Cissus"|""|""|"genus"|""|"Angiospermas"|""|"Plantae"|""|"RB 563945"
"Collection"|"Creative Commons"|"urn:catalog:RB:1560054"|"RB"|"2024-08-19"|"RB"|"RB"|"RB01560054"|"4259"|"C.N. Fraga"|"2024-5-2"|"2024"|"5"|"2"|"Arbusto ca. 20 cm. Folhas verde escuras. Inflorescência verde claro.Flores com sépalas verde, pétalas amarelas com linhas alaranjadas"|""|"Brasil"|"Bahia"|"Prado"|"Estrada para corredeiras."|"50"|""|""|""|"-17.0908333"|"-39.3244445"|""|""|""|""|""|"Oxalis fruticosa Raddi"|"OXALIDACEAE"|"Oxalis"|"fruticosa"|""|"specie"|"Raddi"|"Angiospermas"|""|"Plantae"|""|"RB 873022"
"Collection"|"Creative Commons"|"urn:catalog:RB:1551698"|"RB"|"2024-07-25"|"RB"|"RB"|"RB01551698"|"9030"|"P. Labiak"|"2024-4-26"|"2024"|"4"|"26"|"Ca. 2 m. altura. Frutos vináceos."|""|"Brasil"|"Bahia"|"Prado"|"Trilha 1 do Programa Monitora."|"70"|""|""|""|"-17.1166667"|"-39.3294445"|"V.C. Souza & N. Ivanauskas"|"5/2024"|""|""|""|"Geonoma elegans Mart."|"ARECACEAE"|"Geonoma"|"elegans"|""|"specie"|"Mart."|"Angiospermas"|""|"Plantae"|""|"RB 869814"
"Collection"|"Creative Commons"|"urn:catalog:RB:786966"|"RB"|"2018-10-16"|"RB"|"RB"|"RB00786966"|"207"|"L. Daneu"|"2009-11-3"|"2009"|"11"|"3"|"Arvoreta ca. 3m alt. Folhas ferrugíneas. Botões de coloração ferrugínea"|""|"Brasil"|"Bahia"|"Prado"|"Parque Nacional do Descobrimento. Entrada à esquerda no km 8 da estrada principal que atravessa o Parque."|"150"|""|""|""|"-17.1833333"|"-39.3333333"|"M.V.Martins & G.H.Schimizu"|"4/10/2018"|""|""|""|"Vismia magnoliifolia Cham. & Schltdl."|"GUTTIFERAE"|"Vismia"|"magnoliifolia"|""|"specie"|"Cham. & Schltdl."|"Angiospermas"|""|"Plantae"|""|"RB 577785"
