"Ctrl_Record_ID_Review","Ctrl_nameRecordedBy_Standard","Ctrl_recordNumber_Standard","Ctrl_key_family_recordedBy_recordNumber","Ctrl_key_year_recordedBy_recordNumber","wcvp_kew_id","wcvp_family","wcvp_genus","wcvp_species","wcvp_infraspecies","wcvp_taxon_name","wcvp_authors","wcvp_rank","wcvp_taxonomic_status","wcvp_accepted_kew_id","wcvp_accepted_name","wcvp_accepted_authors","wcvp_parent_kew_id","wcvp_parent_name","wcvp_parent_authors","wcvp_reviewed","wcvp_publication","wcvp_original_name_id","wcvp_TAXON_NAME_U","wcvp_searchNotes","wcvp_searchedName","fb2020_taxonID","fb2020_acceptedNameUsageID","fb2020_parentNameUsageID","fb2020_originalNameUsageID","fb2020_scientificName","fb2020_namePublishedIn","fb2020_namePublishedInYear","fb2020_higherClassification","fb2020_family","fb2020_specificEpithet","fb2020_infraspecificEpithet","fb2020_taxonRank","fb2020_scientificNameAuthorship","fb2020_taxonomicStatus","fb2020_nomenclaturalStatus","fb2020_modified","fb2020_bibliographicCitation","fb2020_references","fb2020_scientificNamewithoutAuthorship","fb2020_scientificNamewithoutAuthorship_U","fb2020_searchNotes","fb2020_searchedName","Ctrl_occurrenceID","Ctrl_bibliographicCitation","Ctrl_downloadAsSynonym","Ctrl_scientificNameSearched","Ctrl_scientificNameReference","Ctrl_acceptedNameUsage","Ctrl_scientificNameAuthorship","Ctrl_scientificName","Ctrl_scientificNameOriginalSource","Ctrl_family","Ctrl_genus","Ctrl_specificEpithet","Ctrl_infraspecificEpithet","Ctrl_modified","Ctrl_institutionCode","Ctrl_collectionCode","Ctrl_catalogNumber","Ctrl_identificationQualifier","Ctrl_identifiedBy","Ctrl_dateIdentified","Ctrl_typeStatus","Ctrl_recordNumber","Ctrl_recordedBy","Ctrl_fieldNumber","Ctrl_country","Ctrl_stateProvince","Ctrl_municipality","Ctrl_locality","Ctrl_year","Ctrl_month","Ctrl_day","Ctrl_decimalLatitude","Ctrl_decimalLongitude","Ctrl_occurrenceRemarks","Ctrl_comments","Ctrl_taxonRank","Ctrl_voucherAmostra","Ctrl_amostraVerificada","Ctrl_naoPossivelVerificar","Ctrl_observacaoNaoPossivelVerificar","Ctrl_dataVerificacao","Ctrl_verificadoPor","Ctrl_emailVerificador","Ctrl_scientificName_verified","Ctrl_family_verified","link_imagem_amostra","tombo","Ctrl_recordedBy_U"
445,"FRAGA",4261,"MORACEAE_FRAGA_4261","2024_FRAGA_4261",,,,,,,,,,,,,,,,,,,,,,10186,,10184,618325,"Maclura tinctoria (L.) D.Don ex Steud.",,,"Flora e Funga;Angiospermas;Moraceae Gaudich.;Maclura Nutt.;Maclura tinctoria (L.) D.Don ex Steud.","MORACEAE","tinctoria",,"ESPECIE","(L.) D.Don ex Steud.","NOME_ACEITO","NOME_CORRETO",2020-12-30 15:40:49.371,"Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB10186","Maclura tinctoria","MACLURA TINCTORIA","NOME_ACEITO","Maclura tinctoria","jabot=RB:RB01560056","jabot",,,,,"(L.) D.Don ex Steud.","Maclura tinctoria","Maclura tinctoria (L.) D.Don ex Steud.","MORACEAE","Maclura","tinctoria",,2024-08-19,"RB","RB","RB01560056",,,,,"4261","C.N. Fraga",,"Brasil","Bahia","Prado","Ao redor da base do ICMBio.",2024,"5","3",-17.1405555,-39.4144444,"NA, Árvore,ca. 20 m. Inflorescência verdes, estigmasverde calros",,"SPECIES",FALSE,FALSE,FALSE,,,,,,,"http://rb.jbrj.gov.br/v2/regua/visualizador.php?r=true&colbot=RB&codtestemunho=01560056","RB_RB01560056","C.N. FRAGA"
1087,"FRAGA",4267,"SOLANACEAE_FRAGA_4267","2024_FRAGA_4267",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not found","Solanum","jabot=RB:RB01560062","jabot",,,,,,"Solanum","Solanum","SOLANACEAE","Solanum",,,2024-08-19,"RB","RB","RB01560062",,,,,"4267","C.N. Fraga",,"Brasil","Bahia","Prado","Ao redor da base do ICMBio.",2024,"5","3",-17.1405555,-39.4144444,"NA, Arbusto, ca. 2m. Flores passados verde, estames amarelos",,"GENUS",FALSE,FALSE,FALSE,,,,,,,"http://rb.jbrj.gov.br/v2/regua/visualizador.php?r=true&colbot=RB&codtestemunho=01560062","RB_RB01560062","C.N. FRAGA"
1105,"FRAGA",4262,"HELICONIACEAE_FRAGA_4262","2024_FRAGA_4262",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not found","Heliconia","jabot=RB:RB01560057","jabot",,,,,,"Heliconia","Heliconia","HELICONIACEAE","Heliconia",,,2024-08-19,"RB","RB","RB01560057",,,,,"4262","C.N. Fraga",,"Brasil","Bahia","Prado","Ao redor da base do ICMBio.",2024,"5","3",-17.1405555,-39.4144444,"NA, Erva terrestre, ca. 2m. Folhas comlâminas brlhosas na face abaxial. Brácteas avermelhadas, pedicelos amarelos. Flores velhas acastanhadas",,"GENUS",FALSE,FALSE,FALSE,,,,,,,"http://rb.jbrj.gov.br/v2/regua/visualizador.php?r=true&colbot=RB&codtestemunho=01560057","RB_RB01560057","C.N. FRAGA"
1149,"FRAGA",4263,"PIPERACEAE_FRAGA_4263","2024_FRAGA_4263",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not found","Piper","jabot=RB:RB01560058","jabot",,,,,,"Piper","Piper","PIPERACEAE","Piper",,,2024-08-19,"RB","RB","RB01560058",,,,,"4263","C.N. Fraga",,"Brasil","Bahia","Prado","Ao redor da base do ICMBio.",2024,"5","3",-17.1405555,-39.4144444,"NA, Arbusto, ca. 2m. Inflorescência verde escuras.",,"GENUS",FALSE,FALSE,FALSE,,,,,,,"http://rb.jbrj.gov.br/v2/regua/visualizador.php?r=true&colbot=RB&codtestemunho=01560058","RB_RB01560058","C.N. FRAGA"
1168,"FRAGA",4265,"MALPIGHIACEAE_FRAGA_4265","2024_FRAGA_4265",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not found","MALPIGHIACEAE","jabot=RB:RB01560060","jabot",,,,,,"MALPIGHIACEAE","MALPIGHIACEAE","MALPIGHIACEAE",,,,2024-08-19,"RB","RB","RB01560060",,,,,"4265","C.N. Fraga",,"Brasil","Bahia","Prado","Ao redor da base do ICMBio.",2024,"5","3",-17.1405555,-39.4144444,"NA, Liana. Folhas verde discolores. Flores co sépalas acastanhadas, pétalas amarelas,estames esverdeados",,"FAMILY",FALSE,FALSE,FALSE,,,,,,,"http://rb.jbrj.gov.br/v2/regua/visualizador.php?r=true&colbot=RB&codtestemunho=01560060","RB_RB01560060","C.N. FRAGA"
1298,"FRAGA",4266,"BIGNONIACEAE_FRAGA_4266","2024_FRAGA_4266",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not found","BIGNONIACEAE","jabot=RB:RB01560061","jabot",,,,,,"BIGNONIACEAE","BIGNONIACEAE","BIGNONIACEAE",,,,2024-08-19,"RB","RB","RB01560061",,,,,"4266","C.N. Fraga",,"Brasil","Bahia","Prado","Ao redor da base do ICMBio.",2024,"5","3",-17.1405555,-39.4144444,"NA, Liana. Folhas verde discolores. Frutos verde escuro tetra alado",,"FAMILY",FALSE,FALSE,FALSE,,,,,,,"http://rb.jbrj.gov.br/v2/regua/visualizador.php?r=true&colbot=RB&codtestemunho=01560061","RB_RB01560061","C.N. FRAGA"
1323,"FRAGA",4264,"POACEAE_FRAGA_4264","2024_FRAGA_4264",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not found","POACEAE","jabot=RB:RB01560059","jabot",,,,,,"POACEAE","POACEAE","POACEAE",,,,2024-08-19,"RB","RB","RB01560059",,,,,"4264","C.N. Fraga",,"Brasil","Bahia","Prado","Ao redor da base do ICMBio.",2024,"5","3",-17.1405555,-39.4144444,"NA, Erva,ca. 1m. Folhas verde clar. Inflorescência vinosa",,"FAMILY",FALSE,FALSE,FALSE,,,,,,,"http://rb.jbrj.gov.br/v2/regua/visualizador.php?r=true&colbot=RB&codtestemunho=01560059","RB_RB01560059","C.N. FRAGA"
870,"MEDEIROS",5804,"BIGNONIACEAE_MEDEIROS_5804","2024_MEDEIROS_5804",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not found","BIGNONIACEAE","jabot=RB:RB01551542","jabot",,,,,,"BIGNONIACEAE","BIGNONIACEAE","BIGNONIACEAE",,,,2024-07-16,"RB","RB","RB01551542",,,,,"5804","H. Medeiros",,"Brasil","Bahia","Prado","BA 489, Km 34, sentido Prado/Itamaraju. Arredores da base do ICMBio.",2024,"5","3",-17.1405555,-39.4144444,"NA, Liana, frutos imaturos verdes.",,"FAMILY",FALSE,FALSE,FALSE,,,,,,,"http://rb.jbrj.gov.br/v2/regua/visualizador.php?r=true&colbot=RB&codtestemunho=01551542","RB_RB01551542","H. MEDEIROS"
886,"MEDEIROS",5801,"SAPINDACEAE_MEDEIROS_5801","2024_MEDEIROS_5801",,,,,,,,,,,,,,,,,,,,,,20925,,20914,,"Paullinia rubiginosa Cambess.",,,"Flora e Funga;Angiospermas;Sapindaceae Juss.;Paullinia L.;Paullinia rubiginosa Cambess.","SAPINDACEAE","rubiginosa",,"ESPECIE","Cambess.","NOME_ACEITO","NOME_CORRETO",2021-10-23 18:14:56.496,"Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB20925","Paullinia rubiginosa","PAULLINIA RUBIGINOSA","NOME_ACEITO","Paullinia rubiginosa","jabot=RB:RB01551539","jabot",,,,,"Cambess.","Paullinia rubiginosa","Paullinia rubiginosa Cambess.","SAPINDACEAE","Paullinia","rubiginosa",,2024-07-16,"RB","RB","RB01551539",,,,,"5801","H. Medeiros",,"Brasil","Bahia","Prado","BA 489, Km 34, sentido Prado/Itamaraju. Arredores da base do ICMBio.",2024,"5","3",-17.1405555,-39.4144444,"NA, Liana, frutos imaturos verdes, maduros amarelos, alas vermelhas.",,"SPECIES",FALSE,FALSE,FALSE,,,,,,,"http://rb.jbrj.gov.br/v2/regua/visualizador.php?r=true&colbot=RB&codtestemunho=01551539","RB_RB01551539","H. MEDEIROS"
1109,"MEDEIROS",5806,"BIGNONIACEAE_MEDEIROS_5806","2024_MEDEIROS_5806",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not found","BIGNONIACEAE","jabot=RB:RB01551544","jabot",,,,,,"BIGNONIACEAE","BIGNONIACEAE","BIGNONIACEAE",,,,2024-07-16,"RB","RB","RB01551544",,,,,"5806","H. Medeiros",,"Brasil","Bahia","Prado","BA 489, Km 34, sentido Prado/Itamaraju. Arredores da base do ICMBio.",2024,"5","3",-17.1405555,-39.4144444,"NA, Liana, cálice verde e corola rosa.",,"FAMILY",FALSE,FALSE,FALSE,,,,,,,"http://rb.jbrj.gov.br/v2/regua/visualizador.php?r=true&colbot=RB&codtestemunho=01551544","RB_RB01551544","H. MEDEIROS"
