datelastmodified	basisofrecord	country	stateprovince	institutioncode	collectioncode	catalognumber	kingdom	phylum	taxonclass	ordem	family	genus	species	subspecies	scientificname	scientificnameauthor	typestatus	yearcollected	monthcollected	daycollected	collector	collectornumber	fieldnumber	julianday	timeofday	identifiedby	yearidentified	monthidentified	dayidentified	continentocean	county	locality	longitude	latitude	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode	historyofdeposit	depositor	yeardeposited	monthdeposited	daydeposited	isolatedfrom	isolator	isolationmethod	conditionsforgrowth	geneticallymodified	genotype	mutant	race	alternatestate	strainproperties	strainapplications	formofsupply	restrictions	biologicalrisks	pathogenicity
2024-05-07T11:11:58	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	60132	Plantae				Verbenaceae	Lantana	undulata		Lantana undulata			1993	10	22	W. W. Thomas	10121				S. Atkins					PRADO	Reserva Brasil Holanda; entrada no Km 18 a E Itamaraju, Rod. p/Prado. 8Km da entrada.	-39.333333	-17.183333												30/12/1995																						
2024-05-07T10:49:08	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	60114	Plantae				Balanophoraceae	Lophophytum	mirabile		Lophophytum mirabile			1993	10	22	W. W. Thomas	10105				B. Hansen					PRADO	Reserva Florestal da Brasil Holanda. Entrada no Km 18 a E Rod. p/ Itamaraju, 8Km da entrada.	-39.333333	-17.183333												30/12/1994																						
2024-05-07T10:56:18	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	61264	Plantae				Fabaceae	Machaerium	aculeatum		Machaerium aculeatum			1988	04	09	J. G. Jardim	410				F. L. R. Filardi					PORTO SEGURO	Reserva da Brasil Holanda S/A. Entrada no Km 22 Rod. Eunápolis/Porto Seguro. Ca. 9,5Km da entrada.	-39.325278	-16.4625												30/01/2008																						
2024-05-07T11:09:59	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	60057	Plantae				Sapotaceae	Manilkara	salzmannii		Manilkara salzmannii			1993	10	22	W. W. Thomas	10153				T. D. Pennington					PRADO	Reserva Brasil Holanda; entroncamento Km 18 a E Itamaraju, Rod. p/ Prado, 8Km do entroncamento.	-39.333333	-17.183333												30/12/1994	<nO><ll>dwc_commonname:</ll> Macaranduba</nO>																					
2024-05-07T11:06:20	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	60091	Plantae				Poaceae	Merostachys	bifurcata		Merostachys bifurcata			1993	10	22	W. W. Thomas	10134				R. Vinícius-Silva					PRADO	Reserva Florestal da Brasil Holanda S.A., entrada no E Km 18 a E Itamaraju. Rod. p/ Prado, a 8Km da entrada.	-39.333333	-17.183333																																		
2024-05-07T11:06:20	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	60060	Plantae				Poaceae	Merostachys	calderoniana		Merostachys calderoniana			1993	10	22	W. W. Thomas	10150				R. Vinícius-Silva					PRADO	Reserva Florestal da Brasil Holanda; entrada no Km 18 a E Itamaraju Rod. p/ Prado, 8km da entrada	-39.333333	-17.183333																																		
2024-05-07T11:06:23	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	61191	Plantae				Poaceae	Merostachys	procerrima		Merostachys procerrima			2001	04	08	A. M. de Carvalho	4462				R. Vinícius-Silva					PORTO SEGURO	Reserva Florestal da Brasil Holanda. Entrada no Km 22 Rod. Eunápolis/Porto Seguro. Ca. 9.5Km na entrada.	-39.325278	-16.4625																																		
2024-05-07T10:54:51	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	61232	Plantae				Euphorbiaceae	Croton	sincorensis		Croton sincorensis			1984	04	09	J. G. Jardim	381				P. E. Berry					PORTO SEGURO	Reserva da Brasil Holanda. Ntrada no Km 22Rod. Eunápolis/PortoSeguro. Ca. 9,5Km da entrada.	-39.325278	-16.4625												28/02/2004																						
2024-05-07T11:00:37	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	61101	Plantae				Marantaceae	Ctenanthe	glabra		Ctenanthe glabra			1999	04	08	A. M. de Carvalho	4448				J. M. A. Braga					PORTO SEGURO	Reserva Brasil Holanda S/A. Entrada KM 22 Rod. Eunápolis/Porto Seguro. Ca. 9.5Km da entrada.	-39.325278	-16.4625												30/01/2003																						
2024-05-07T11:03:18	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	61188	Plantae				Myrsinaceae	Cybianthus	densiflorus		Cybianthus densiflorus			2001	04	08	A. M. de Carvalho	4465				J. Pipoly					PORTO SEGURO	Reserva da Brasil Holanda Indústrias S/A. Entrada no Km 22 Rod. Eunapolis/Porto Seguro. Ca. 9,5Km na entrada	-39.325278	-16.4625												30/12/1996																						
