datelastmodified	basisofrecord	country	stateprovince	institutioncode	collectioncode	catalognumber	kingdom	phylum	taxonclass	ordem	family	genus	species	subspecies	scientificname	scientificnameauthor	typestatus	yearcollected	monthcollected	daycollected	collector	collectornumber	fieldnumber	julianday	timeofday	identifiedby	yearidentified	monthidentified	dayidentified	continentocean	county	locality	longitude	latitude	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode	historyofdeposit	depositor	yeardeposited	monthdeposited	daydeposited	isolatedfrom	isolator	isolationmethod	conditionsforgrowth	geneticallymodified	genotype	mutant	race	alternatestate	strainproperties	strainapplications	formofsupply	restrictions	biologicalrisks	pathogenicity
2024-05-07T10:52:56	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	127056	Plantae				Cunoniaceae	Lamanonia			Lamanonia			2009	11	04	Matos, F. B.	1928				Sem Informação					PRADO	Parque Nacional do Descobrimento. Entrada à esquerda no km 12 da estrada principal que atravessa o Parque. Borda da mata.	-39.333333	-17.183333			70	70									<nO>Material estéril.</nO>																					
2024-05-07T11:01:07	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	126025	Plantae				Melastomataceae	Leandra	rhamnifolia		Leandra rhamnifolia			2009	06	11	Matos, F. B.	1693				A. Jardim					PRADO	Parque Nacional do Descobrimento. Mussununga arbórea; entrada a direita no Km 18 da estrada principal que atravessa o Parque. Local alterado ao lado da trilha.	-39.333333	-17.183333			100	100																														
2024-05-07T11:01:09	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	126036	Plantae				Melastomataceae	Leandra	rufescens		Leandra rufescens			2009	06	11	Matos, F. B.	1704				A. Jardim					PRADO	Parque Nacional do Descobrimento. Mussununga arbórea; entrada a direita no Km 18 da estrada principal que atravessa o Parque. Borda da mata.	-39.333333	-17.183333			100	100																														
2024-05-07T10:58:21	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	126005	Plantae				Lindsaeaceae	Lindsaea	lancea		Lindsaea lancea			2009	06	11	Matos, F. B.	1673				Sem Informação					PRADO	Parque Nacional do Descobrimento. Barranco na beira de estrada (Km 24 da estrada principal que atravessa o Parque).	-39.333333	-17.183333			100	100																														
2024-05-07T10:58:21	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	126009	Plantae				Lindsaeaceae	Lindsaea	lancea		Lindsaea lancea			2009	06	11	Matos, F. B.	1677				Sem Informação					PRADO	Parque Nacional do Descobrimento. Mussununga arbórea; entrada a direita no Km 18 da estrada principal que atravessa o Parque. Interior da mata.	-39.333333	-17.183333			100	100									<nO>Material em sílica.</nO>																					
2024-05-07T10:58:21	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	100437	Plantae				Lindsaeaceae	Lindsaea	lancea	elatior	Lindsaea lancea elatior			2002	10	31	A. Salino	8149				A. Salino					PRADO	Entorno do Parque Nacional do Descobrimento. Calimar.	-39.332778	-17.136667												30/10/2002																						
2024-05-07T10:58:24	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	100452	Plantae				Lindsaeaceae	Lindsaea	portoricensis		Lindsaea portoricensis			2002	10	30	A. Salino	8139				A. Salino					PRADO	Ponte próximo a Barra do Caí, no entorno do Parque Nacional do Descobrimento.	-39.2525	-17.008611												30/10/2002																						
2024-06-25T16:26:22	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	126040	Plantae				Dryopteridaceae	Lomagramma	guianensis		Lomagramma guianensis			2009	06	12	Matos, F. B.	1708				F. B. Matos					PRADO	Parque Nacional do Descobrimento. Mussununga arbórea; entrada a direita no Km 18 da estrada principal que atravessa o Parque. Interior da mata.	-39.333333	-17.183333			100	100									<nO>Material em sílica.</nO>																					
2024-05-07T10:49:08	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	127030	Plantae				Balanophoraceae	Lophophytum	mirabile		Lophophytum mirabile			2002	04	04	F. B. Matos	1902				F. B. Matos					PRADO	Parque Nacional do Descobrimento. Entrada à esquerda no Km 8 da estrada principal que atravessa o Parque.	-39.333333	-17.183333												30/11/2009																						
2024-05-07T10:58:31	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	126818	Plantae				Loranthaceae							2009	11	03	Daneu, L.	194				Sem Informação					PRADO	Parque Nacional do Descobrimento. Entrada à esquerda no km8 da estrada principal que atravessa o Parque.	-39.333333	-17.183333																																		
2024-05-07T11:07:02	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	126012	Plantae				Polypodiaceae	Margaritopsis	nitidum		Margaritopsis nitidum			2009	06	11	F. B. Matos	1680				C. M. Taylor					PRADO	Parque Nacional do Descobrimento. Entrada a direita no Km 18 da estrada principal que atravessa o Parque	-39.333333	-17.183333												30/12/2012																						
2024-05-07T11:03:56	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	127095	Plantae				Myrtaceae	Marlierea	neuwiediana		Marlierea neuwiediana			2009	11	10	F. B. Matos	1967				V. G. Staggemeier					PRADO	Parque Nacional do Descobrimento. Entrada à esquerda no Km 8 da entrada principal que atravessa o Parque.	-39.333333	-17.183333												02/09/2014																						
2024-05-07T11:01:17	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	127083	Plantae				Melastomataceae	Miconia	amoena		Miconia amoena			2009	11	10	Matos, F. B.	1955				P. Fiaschi					PRADO	Parque Nacional do Descobrimento. Entrada à esquerda no km 8 da estrada principal que atravessa o Parque. Área alterada, na borda da mata.	-39.333333	-17.183333			70	70																														
2024-05-07T11:01:17	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	127098	Plantae				Melastomataceae	Miconia	amoena		Miconia amoena			2009	11	10	F. B. Matos	1970				R. Goldenberg					PRADO	Parque Nacional do Descobrimento.. Entrada à esquerda no Km 8 da estrada principal que atravessa o Parque.	-39.333333	-17.183333																																		
2024-05-07T11:01:29	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	126035	Plantae				Melastomataceae	Miconia	mirabilis		Miconia mirabilis			2009	06	11	Matos, F. B.	1703				A. Jardim					PRADO	Parque Nacional do Descobrimento. Mussununga arbórea; entrada a direita no Km 18 da estrada principal que atravessa o Parque. Borda da mata.	-39.333333	-17.183333			100	100																														
2024-05-07T10:51:55	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	126836	Plantae				Chrysobalanaceae	Couepia	schottii		Couepia schottii			2009	11	03	Daneu, L.	212				P. Fiaschi					PRADO	Parque Nacional do Descobrimento. Entrada à esquerda no km8 da estrada principal que atravessa o Parque.	-39.333333	-17.183333																																		
2024-05-07T10:54:48	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	126877	Plantae				Euphorbiaceae	Croton	polyandrus		Croton polyandrus			1984	12	09	G. M. Carvalho	140				R. F. Santos					PRADO	Parque Nacional do Descobrimento. KM 12 da estrada principal; estrada "bastião do telhado".	-39.333333	-17.183333												28/02/2015																						
2024-05-07T10:54:48	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	127060	Plantae				Euphorbiaceae	Croton	polyandrus		Croton polyandrus			2009	11	08	F. B. Matos	1932				R. F. Santos					PRADO	Parque Nacional do Descobrimento. Trilha aberta para os estudos do Plano de Manejo do PARNA, KM 22 da estrada principal que atravessa o Parque.	-39.333333	-17.183333												28/02/2015																						
2024-05-07T10:52:57	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	127078	Plantae				Cyatheaceae	Cyathea	phalerata		Cyathea phalerata			2009	11	09	F. B. Matos	1950				F. B. Matos					PRADO	Parque Nacional do Descobrimento. Entrada à esquerda no Km 8 da estrada principal que atravessa o Parque.	-39.333333	-17.183333												30/12/2009																						
2024-06-25T16:26:07	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	127047	Plantae				Dilleniaceae	Davilla			Davilla			2009	11	04	Matos, F. B.	1919				Sem Informação					PRADO	Parque Nacional do Descobrimento. Entrada à esquerda no km 12 da estrada principal que atravessa o Parque. Local alterado na beira da estrada.	-39.333333	-17.183333			70	70																														
2024-06-25T16:26:07	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	123999	Plantae				Dilleniaceae	Davilla	bahiana		Davilla bahiana			2009	06	11	Matos, F. B.	1668				P. Fiaschi					PRADO	Parque Nacional do Descobrimento. Área alterada na beira de estrada (Km 24 da estrada principal que atravessa o Parque).	-39.333333	-17.183333			100	100																														
2024-06-25T16:26:10	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	126003	Plantae				Dilleniaceae	Davilla	grandifolia		Davilla grandifolia			2009	06	11	Matos, F. B.	1671				P. Fiaschi					PRADO	Parque Nacional do Descobrimento. Área alterada na beira de estrada (Km 24 da estrada principal que atravessa o Parque).	-39.333333	-17.183333			100	100									<nO>UNICATA. Material estéril.</nO>																					
2024-06-25T16:26:10	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	123998	Plantae				Dilleniaceae	Davilla	undulata		Davilla undulata		Paratipo	2009	06	11	Matos, F. B.	1667									PRADO	Parque Nacional do Descobrimento. Área alterada na beira de estrada (Km 24 da estrada principal que atravessa o Parque).	-39.333333	-17.183333			100	100									<nO>Det. via: SpeciesLink/lacunas, 6/2023</nO>																					
2024-05-07T10:57:12	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	127065	Plantae				Gleicheniaceae	Dicranopteris	flexuosa		Dicranopteris flexuosa			2009	11	09	F. B. Matos	1937				F. B. Matos					PRADO	Parque Nacional do Descobrimento. Estrada principal que atravessa o Parque.	-39.333333	-17.183333												30/11/2009																						
2024-06-25T16:26:21	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	127062	Plantae				Dryopteridaceae	Elaphoglossum			Elaphoglossum			2009	11	08	Matos, F. B.	1934				Sem Informação					PRADO	Parque Nacional do Descobrimento. Trilha aberta para os estudos do Plano de Manejo do PARNA, km 22 da estrada principal que atravessa o Parque (solo argiloso). Interior da mata.	-39.333333	-17.183333			90	90									<nO>UNICATA.</nO>																					
2024-06-25T16:26:22	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	126013	Plantae				Dryopteridaceae	Elaphoglossum	luridum		Elaphoglossum luridum			2009	06	11	F. B. Matos	1681				F. B. Matos					PRADO	Parque Nacional do Descobrimento. Entrada a direita no Km 18 da estrada principal que atravessa o Parque.	-39.333333	-17.183333												30/08/2009	<nO>Material em sílica.</nO>																					
2024-06-25T16:26:22	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	126017	Plantae				Dryopteridaceae	Elaphoglossum	pteropus		Elaphoglossum pteropus			2009	06	11	F. B. Matos	1685				F. B. Matos					PRADO	Parque Nacional do Descobrimento. Entrada à direita no Km 18 da estrada principal que atravessa o Parque.	-39.333333	-17.183333												30/06/2009																						
2024-05-07T10:53:16	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	127026	Plantae				Cyperaceae	Eleocharis	interstincta		Eleocharis interstincta			2009	11	02	Matos, F. B.	1898				F. B. Matos					PRADO	Parque Nacional do Descobrimento. Entrada à esquerda no km 12 da estrada principal que atravessa o Parque.	-39.333333	-17.183333																																		
2024-05-07T11:02:02	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	126049	Plantae				Menispermaceae	Abuta	convexa		Abuta convexa			2009	06	12	Matos, F. B.	1717				Sem Informação					PRADO	Parque Nacional do Descobrimento. Mussununga arbórea; entrada a direita no Km 18 da estrada principal que atravessa o Parque. Interior da mata.	-39.333333	-17.183333			100	100									<nO>Material estéril.</nO>																					
2024-05-07T11:07:15	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	127064	Plantae				Pteridaceae	Adiantum	abscissum		Adiantum abscissum			2009	11	09	Matos, F. B.	1936				F. B. Matos					PRADO	Parque Nacional do Descobrimento. Estrada principal que atravessa o Parque, chegando no km 6 (solo argiloso). Borda da mata.	-39.333333	-17.183333			70	70																														
2024-05-07T10:55:36	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	126825	Plantae				Fabaceae	Andira			Andira			2009	11	03	Daneu, L.	201				Sem Informação					PRADO	Parque Nacional do Descobrimento. Entrada à esquerda no km8 da estrada principal que atravessa o Parque.	-39.333333	-17.183333																																		
2024-05-07T10:57:54	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	127048	Plantae				Lauraceae	Aniba			Aniba			1995	01	02	F. B. Matos	1920				H. van der Werff					PRADO	Parque Nacional do Descobrimento. Entrada à esquerda no Km 12 da estrada principal que atrevessa o Parque.	-39.333333	-17.183333												30/12/2014																						
2024-05-07T10:45:22	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	127053	Plantae				Annonaceae							2009	11	04	Matos, F. B.	1925				Sem Informação					PRADO	Parque Nacional do Descobrimento. Entrada à esquerda no km 12 da estrada principal que atravessa o Parque. Local alterado na beira da estrada.	-39.333333	-17.183333			70	70																														
2024-05-07T10:46:39	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	127059	Plantae				Arecaceae							2009	11	07	Matos, F. B.	1931				Sem Informação					PRADO	Parque Nacional do Descobrimento. Trilha aberta para os estudos do Plano de Manejo do PARNA, km 22 da estrada principal que atravessa o Parque (solo argiloso). Interior da mata.	-39.333333	-17.183333			90	90																														
2024-05-07T10:48:12	PreservedSpecimen	Brasil	Bahia	CEPLAC	CEPEC	123994	Plantae				Asteraceae	Baccharis	calvescens		Baccharis calvescens			2009	06	10	F. B. Matos	1663				N. Roque					PRADO	Parque Nacional do Descobrimento.	-39.333333	-17.183333												30/07/2009																						
